Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,867,"1,035",758,673,"1,033","1,147","1,047",972,991
Expenses+,832,988,707,630,981,"1,097",993,903,919
Operating Profit,35,46,51,44,52,50,54,69,72
OPM %,4%,4%,7%,6%,5%,4%,5%,7%,7%
Other Income+,3,3,2,2,3,2,4,5,5
Interest,13,18,22,20,19,23,28,33,34
Depreciation,7,8,12,13,12,12,12,16,16
Profit before tax,18,23,20,13,24,18,18,25,27
Tax %,35%,35%,27%,28%,28%,26%,25%,26%,
Net Profit+,12,15,15,9,17,13,14,18,19
EPS in Rs,3.94,5.09,4.97,3.14,5.79,4.55,4.65,6.22,6.36
Dividend Payout %,13%,12%,0%,16%,0%,0%,0%,0%,
