Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,366,470,529,659,794,522,429,425,481,610,663,720,712
Expenses+,288,368,404,496,602,554,452,371,419,513,552,584,594
Operating Profit,79,102,125,164,192,-32,-22,54,62,97,110,135,117
OPM %,21%,22%,24%,25%,24%,-6%,-5%,13%,13%,16%,17%,19%,17%
Other Income+,1,2,3,3,12,-12,-1,20,12,48,9,13,14
Interest,9,28,30,35,24,27,35,32,27,21,15,13,13
Depreciation,12,23,26,26,19,24,41,42,42,46,46,42,43
Profit before tax,59,54,73,105,161,-95,-99,-0,5,78,58,93,76
Tax %,27%,36%,32%,41%,33%,-30%,13%,"32,350%",-76%,26%,12%,35%,
Net Profit+,43,33,47,61,107,-67,-111,-6,8,58,51,60,49
EPS in Rs,"2,455.92","1,557.42","2,308.87",20.53,30.62,-19.13,-31.87,-1.86,3.19,16.38,16.08,18.03,14.83
Dividend Payout %,1%,0%,0%,128%,5%,0%,0%,0%,0%,18%,19%,22%,
