Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,254,280,360,711,"1,039","1,374"
Expenses+,119,113,151,287,380,517
Operating Profit,135,166,209,424,660,857
OPM %,53%,59%,58%,60%,63%,62%
Other Income+,8,30,31,33,74,36
Interest,70,97,122,237,328,336
Depreciation,103,172,212,356,473,636
Profit before tax,-31,-72,-94,-136,-68,-79
Tax %,-28%,-25%,-26%,-26%,-26%,-20%
Net Profit+,-22,-54,-70,-101,-50,-63
EPS in Rs,-2.90,-7.02,-9.06,-13.01,-6.32,-6.12
Dividend Payout %,0%,0%,0%,0%,0%,0%
