Metric,Jun 201415m,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,080","1,606","1,382","2,153","2,257","2,539","2,928","2,536","3,386","4,644","3,951","3,599","3,972"
Expenses+,875,"1,364","1,180","1,743","1,840","2,180","2,524","1,947","2,589","3,670","3,697","2,812","2,974"
Operating Profit,204,241,203,410,416,359,404,590,797,975,253,787,998
OPM %,19%,15%,15%,19%,18%,14%,14%,23%,24%,21%,6%,22%,25%
Other Income+,23,-228,-38,121,34,123,13,45,-89,219,216,-154,-137
Interest,69,73,262,172,212,237,231,251,373,421,558,538,517
Depreciation,133,221,203,255,277,304,381,422,417,527,498,505,526
Profit before tax,25,-281,-301,105,-39,-58,-196,-39,-82,246,-587,-411,-181
Tax %,28%,12%,5%,9%,15%,-44%,-21%,46%,111%,45%,-17%,12%,
Net Profit+,18,-313,-317,96,-44,-33,-154,-56,-174,194,-488,-458,-236
EPS in Rs,1.31,-9.78,-9.48,2.79,-1.78,-0.76,-4.39,-1.45,-5.73,4.92,-13.49,-12.57,-7.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
