Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,643,737,723,791,820,870,732,687,782,823,723,802,810
Expenses+,576,648,646,688,697,745,643,620,710,766,684,763,775
Operating Profit,67,89,76,103,123,124,89,67,73,57,39,40,35
OPM %,10%,12%,11%,13%,15%,14%,12%,10%,9%,7%,5%,5%,4%
Other Income+,7,9,8,10,7,6,12,13,31,9,10,22,23
Interest,36,31,27,28,26,27,27,28,23,22,24,30,29
Depreciation,28,34,34,34,30,30,40,40,41,38,33,41,40
Profit before tax,10,33,23,51,74,73,35,11,39,6,-9,-8,-12
Tax %,31%,26%,33%,30%,-37%,37%,40%,-162%,11%,87%,185%,93%,
Net Profit+,7,25,16,36,101,46,21,29,35,1,-25,-16,-20
EPS in Rs,3.10,11.10,7.04,16.22,45.77,20.72,9.56,13.05,15.78,0.38,-11.42,-7.36,-8.95
Dividend Payout %,32%,18%,50%,31%,22%,43%,0%,15%,13%,520%,0%,0%,
