Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,146","1,383","1,306","1,590","1,915","2,265","2,425","2,437"
Expenses+,948,"1,129","1,012","1,190","1,377","1,665","1,798","1,820"
Operating Profit,198,254,294,400,538,599,627,617
OPM %,17%,18%,22%,25%,28%,26%,26%,25%
Other Income+,13,5,16,8,15,34,51,53
Interest,7,7,8,14,20,16,18,18
Depreciation,54,57,63,92,132,150,161,176
Profit before tax,150,195,238,301,401,467,498,475
Tax %,36%,31%,29%,26%,26%,26%,25%,
Net Profit+,96,135,169,224,297,347,372,358
EPS in Rs,6.50,9.10,11.39,14.63,19.25,21.33,22.66,21.76
Dividend Payout %,25%,20%,13%,17%,25%,27%,42%,
