Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,15,58,86,93,101,109,110,172,136,175,117,105
Expenses+,13,50,77,85,95,108,104,159,136,167,119,109
Operating Profit,2,8,9,8,6,1,5,13,-0,8,-2,-4
OPM %,14%,14%,10%,8%,6%,1%,5%,8%,-0%,4%,-2%,-4%
Other Income+,0,1,0,6,4,2,1,3,2,3,2,2
Interest,1,2,3,2,3,3,3,3,2,1,1,1
Depreciation,1,4,4,4,4,4,4,4,4,4,5,6
Profit before tax,0,3,3,8,4,-5,-0,10,-4,5,-6,-8
Tax %,282%,23%,4%,-6%,42%,25%,-789%,27%,-34%,31%,-24%,
Net Profit+,-1,3,3,9,2,-6,1,7,-3,3,-4,-7
EPS in Rs,-0.01,0.04,0.03,0.11,0.03,-0.07,0.02,0.09,-0.04,0.04,-0.06,-0.09
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,
