Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,88,103,132,138,135,206,312,378,480,506
Expenses+,78,90,118,124,124,192,280,338,437,465
Operating Profit,10,13,14,13,10,14,32,41,43,41
OPM %,11%,12%,10%,10%,8%,7%,10%,11%,9%,8%
Other Income+,0,0,0,0,1,1,1,1,1,1
Interest,1,2,1,2,2,2,1,2,4,6
Depreciation,2,2,2,5,4,4,4,4,8,11
Profit before tax,7,10,11,7,5,10,28,35,31,24
Tax %,32%,32%,29%,27%,32%,25%,26%,26%,26%,
Net Profit+,5,7,7,5,4,7,21,26,23,18
EPS in Rs,6.95,4.23,4.77,3.22,2.30,4.66,13.18,16.64,14.65,11.39
Dividend Payout %,0%,24%,25%,37%,52%,26%,14%,12%,15%,
