Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,502,519,479,524,532,532,646,726,741,753
Expenses+,471,484,444,480,497,486,588,662,684,696
Operating Profit,31,35,35,44,36,45,59,64,57,57
OPM %,6%,7%,7%,8%,7%,9%,9%,9%,8%,8%
Other Income+,7,11,9,16,26,24,18,30,35,42
Interest,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1
Profit before tax,38,46,44,58,61,68,76,94,91,99
Tax %,30%,30%,29%,29%,19%,23%,20%,20%,19%,
Net Profit+,27,32,31,41,50,53,61,75,74,78
EPS in Rs,21.38,25.78,25.09,33.06,39.70,42.38,48.68,60.21,59.23,62.86
Dividend Payout %,28%,28%,29%,36%,25%,24%,27%,40%,46%,
