Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"7,799","9,101","7,454","8,365","9,076","10,848","11,291","9,334","14,130","16,740","16,601","19,657","19,869"
Expenses+,"7,343","8,615","7,061","7,708","8,805","10,233","10,479","9,020","13,083","15,230","15,406","17,553","17,708"
Operating Profit,455,487,392,657,271,615,812,314,"1,047","1,510","1,195","2,104","2,162"
OPM %,6%,5%,5%,8%,3%,6%,7%,3%,7%,9%,7%,11%,11%
Other Income+,201,317,255,520,915,"1,142",996,"1,015","1,132","1,418","1,493","2,636","2,921"
Interest,119,192,343,402,413,508,491,469,623,943,"1,352","1,957","2,100"
Depreciation,70,93,117,148,175,163,234,242,274,305,371,430,443
Profit before tax,467,519,187,626,597,"1,086","1,083",617,"1,282","1,681",964,"2,353","2,539"
Tax %,37%,26%,58%,27%,19%,20%,25%,37%,23%,15%,38%,21%,
Net Profit+,469,589,323,459,484,864,812,391,992,"1,421",595,"1,858","1,943"
EPS in Rs,9.72,11.98,4.78,7.63,10.05,17.53,16.46,9.94,19.42,28.96,1.78,29.14,29.94
Dividend Payout %,18%,15%,37%,23%,17%,7%,0%,0%,0%,0%,0%,0%,
