Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,235.50,264.84,237.20,244.75,241.98,227.07,271.06,266.69,241.89,251.76,243.02,248.47,269.30
Expenses+,261.43,286.62,236.40,254.83,254.93,237.68,277.80,270.24,238.55,245.38,236.88,234.87,254.78
Operating Profit,-25.93,-21.78,0.80,-10.08,-12.95,-10.61,-6.74,-3.55,3.34,6.38,6.14,13.60,14.52
OPM %,-11.01%,-8.22%,0.34%,-4.12%,-5.35%,-4.67%,-2.49%,-1.33%,1.38%,2.53%,2.53%,5.47%,5.39%
Other Income+,0.21,0.06,9.85,0.29,0.02,0.06,0.47,0.27,15.78,97.98,77.62,1.36,1.70
Interest,0.74,0.28,0.01,0.01,0.00,0.01,0.00,0.01,0.01,1.94,1.63,1.91,2.16
Depreciation,6.92,6.95,6.79,5.95,6.04,5.98,5.94,5.18,5.24,5.24,5.12,5.07,4.20
Profit before tax,-33.38,-28.95,3.85,-15.75,-18.97,-16.54,-12.21,-8.47,13.87,97.18,77.01,7.98,9.86
Tax %,0.00%,-13.16%,-32.21%,0.00%,0.00%,0.00%,-36.53%,0.00%,0.00%,0.00%,12.13%,0.00%,0.00%
Net Profit+,-33.38,-25.13,5.09,-15.75,-18.97,-16.54,-7.75,-8.47,13.87,97.18,67.68,7.98,9.86
EPS in Rs,-0.64,-0.48,0.10,-0.30,-0.37,-0.32,-0.15,-0.16,0.27,36.95,1.29,0.15,0.19
Raw PDF,,,,,,,,,,,,,
