Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,324","1,210","1,483","2,099","2,444","2,736","2,833"
Expenses+,"1,252","1,138","1,404","2,006","2,310","2,569","2,681"
Operating Profit,72,73,79,93,134,167,153
OPM %,5%,6%,5%,4%,6%,6%,5%
Other Income+,2,-0,13,13,23,35,33
Interest,11,3,5,15,19,10,8
Depreciation,16,15,17,37,54,47,46
Profit before tax,47,54,71,54,85,145,131
Tax %,13%,13%,19%,36%,22%,18%,
Net Profit+,41,48,57,35,66,119,114
EPS in Rs,,,,,10.15,17.74,16.99
Dividend Payout %,0%,0%,0%,0%,0%,0%,
