Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,260,318,306,641,313,413,376,889,376,508,487,940,458
Expenses+,237,282,278,578,290,370,338,804,346,462,444,850,423
Operating Profit,23,36,29,63,23,43,38,85,30,47,42,90,35
OPM %,9%,11%,9%,10%,7%,11%,10%,10%,8%,9%,9%,10%,8%
Other Income+,1,0,2,1,2,1,2,2,2,2,2,2,2
Interest,5,7,11,9,6,7,16,7,6,9,11,9,10
Depreciation,5,6,5,6,7,8,7,8,10,9,10,9,10
Profit before tax,14,24,14,49,12,29,16,72,16,31,24,73,17
Tax %,21%,18%,52%,24%,22%,24%,51%,26%,24%,22%,34%,25%,24%
Net Profit+,11,20,7,37,10,22,8,53,12,24,16,55,13
EPS in Rs,0.94,1.62,0.56,3.11,0.80,1.84,0.61,4.12,0.95,1.88,1.24,4.29,0.99
Raw PDF,,,,,,,,,,,,,
