Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,383,348,329,343,497,594,557
Expenses+,308,285,275,299,379,501,489
Operating Profit,75,63,55,44,118,93,68
OPM %,20%,18%,17%,13%,24%,16%,12%
Other Income+,2,5,9,8,-40,-2,18
Interest,43,21,20,20,18,22,20
Depreciation,22,25,25,24,16,11,14
Profit before tax,12,23,19,8,44,58,52
Tax %,37%,15%,11%,27%,6%,11%,
Net Profit+,8,20,16,5,41,51,47
EPS in Rs,"2,495.24","6,288.89","3,868.54",3.02,22.77,24.88,22.79
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,
