Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,85,78,38,77,461,661,633,"1,629","1,383","2,468","2,137"
Expenses+,79,75,36,75,433,609,565,"1,454","1,237","2,258","1,914"
Operating Profit,6,3,2,2,28,51,68,175,146,210,223
OPM %,7%,3%,6%,2%,6%,8%,11%,11%,11%,8%,10%
Other Income+,0,0,2,2,2,-1,4,8,18,50,38
Interest,0,1,3,1,0,1,9,19,29,28,29
Depreciation,2,1,1,1,1,1,5,7,14,33,31
Profit before tax,3,0,1,2,29,48,58,156,121,200,201
Tax %,0%,"-1,613%",13%,46%,-10%,31%,29%,26%,23%,21%,
Net Profit+,3,5,0,1,32,33,41,116,93,158,155
EPS in Rs,0.29,0.51,0.04,0.09,3.01,3.16,3.90,10.50,8.11,12.29,12.16
Dividend Payout %,0%,0%,0%,0%,0%,0%,8%,4%,6%,0%,
