Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,205,241,255,293,335,348,372,378,434,456,481,456,451
Expenses+,193,225,248,234,258,274,317,311,348,388,409,398,400
Operating Profit,12,17,7,59,78,74,54,67,86,67,72,58,50
OPM %,6%,7%,3%,20%,23%,21%,15%,18%,20%,15%,15%,13%,11%
Other Income+,-15,-10,-69,-0,19,16,18,17,18,24,26,34,33
Interest,1,2,3,6,2,5,5,5,5,6,5,5,5
Depreciation,6,8,10,10,10,27,28,26,27,30,28,29,29
Profit before tax,-9,-3,-75,43,86,58,39,54,72,56,65,58,50
Tax %,-0%,0%,-0%,0%,14%,27%,24%,24%,25%,17%,23%,22%,
Net Profit+,-9,-3,-75,43,74,42,30,41,54,47,50,45,40
EPS in Rs,-6.80,-1.19,-50.80,20.22,32.52,18.68,12.97,17.83,23.40,20.97,22.26,21.00,18.22
Dividend Payout %,-0%,-0%,-0%,-0%,5%,8%,27%,20%,21%,24%,22%,48%,
