Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,168","2,168","2,150",473,470,678,266,450,474,466,557,524,528
Expenses+,"1,833","1,854","1,813",431,427,622,256,418,449,435,513,470,485
Operating Profit,335,314,337,42,44,57,10,32,25,31,44,54,43
OPM %,15%,14%,16%,9%,9%,8%,4%,7%,5%,7%,8%,10%,8%
Other Income+,19,27,-38,"1,065",153,192,249,"7,394",96,95,156,"5,339",-131
Interest,63,70,64,8,9,22,5,16,16,16,17,19,22
Depreciation,58,58,62,16,17,18,21,35,37,37,37,39,38
Profit before tax,233,213,173,"1,083",170,210,234,"7,375",68,73,146,"5,336",-148
Tax %,30%,55%,-13%,2%,5%,12%,2%,0%,13%,1%,6%,0%,-109%
Net Profit+,162,97,196,"1,067",161,185,230,"7,367",59,72,137,"5,328",14
EPS in Rs,23.85,14.24,29.18,159.95,23.99,27.55,34.42,"1,106.08",9.02,10.83,19.93,799.58,1.71
Raw PDF,,,,,,,,,,,,,
