Metric,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,464","1,651","2,414","2,723","3,672","3,655","4,178","4,118","4,123"
Expenses+,"1,340","1,507","2,240","2,485","3,761","3,361","4,055","3,654","3,658"
Operating Profit,124,144,174,237,-89,294,123,465,465
OPM %,8%,9%,7%,9%,-2%,8%,3%,11%,11%
Other Income+,6,6,26,12,7,15,8,69,89
Interest,23,22,20,7,17,46,51,35,45
Depreciation,31,38,67,70,95,113,126,153,156
Profit before tax,77,89,114,172,-193,150,-45,345,353
Tax %,51%,50%,62%,28%,30%,35%,-102%,0%,
Net Profit+,43,61,44,123,-251,98,1,344,347
EPS in Rs,366.55,523.23,335.61,949.10,-35.30,6.63,-0.28,21.49,21.69
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
