Metric,Mar 20161m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,199,244,170,167,201,137,130,104,142,132
Expenses+,0,153,202,158,137,154,120,136,102,136,128
Operating Profit,0,46,41,11,30,47,16,-6,2,6,4
OPM %,,23%,17%,7%,18%,24%,12%,-5%,2%,4%,3%
Other Income+,0,-24,3,0,0,0,-8,-18,-9,-11,-31
Interest,0,12,11,8,8,2,0,4,2,3,2
Depreciation,0,8,18,19,17,16,15,13,11,12,11
Profit before tax,0,2,15,-16,5,30,-6,-42,-19,-19,-40
Tax %,,-10%,19%,-25%,23%,23%,-13%,-9%,14%,-24%,
Net Profit+,0,2,12,-12,4,23,-5,-39,-22,-15,-33
EPS in Rs,,,5.40,-5.26,0.89,5.60,-1.31,-7.71,-4.34,-2.95,-6.61
Dividend Payout %,,0%,0%,0%,0%,4%,-24%,0%,0%,0%,
