Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,378,261,266,350,316,306,345,335
Expenses+,343,235,235,316,287,275,300,294
Operating Profit,35,25,30,35,29,31,45,40
OPM %,9%,10%,11%,10%,9%,10%,13%,12%
Other Income+,2,2,2,14,5,4,5,5
Interest,6,5,5,6,7,10,9,8
Depreciation,6,8,8,10,11,15,15,15
Profit before tax,25,15,20,33,17,10,26,23
Tax %,30%,31%,31%,23%,31%,36%,28%,
Net Profit+,18,10,14,25,11,6,19,16
EPS in Rs,59.04,33.67,44.85,83.75,37.91,30.07,66.52,57.12
Dividend Payout %,3%,0%,3%,2%,4%,5%,2%,
