Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,483,484,431,466,480,350,276,250,462,957,"1,483","2,060","2,298"
Expenses+,342,233,295,325,370,274,224,214,386,760,"1,149","1,568","1,704"
Operating Profit,141,251,137,141,110,75,52,35,76,197,334,492,594
OPM %,29%,52%,32%,30%,23%,22%,19%,14%,16%,21%,23%,24%,26%
Other Income+,18,8,24,29,49,15,10,20,39,48,37,40,40
Interest,19,55,46,54,55,28,15,31,27,32,35,11,11
Depreciation,15,28,27,27,26,22,18,17,17,17,18,30,35
Profit before tax,125,175,87,88,79,40,29,8,72,197,319,491,587
Tax %,17%,19%,27%,24%,23%,27%,42%,97%,32%,27%,17%,14%,
Net Profit+,100,142,70,76,66,40,24,9,53,149,271,426,493
EPS in Rs,3.40,4.82,2.35,2.61,2.29,1.45,0.91,0.36,1.86,4.73,7.63,12.40,14.38
Dividend Payout %,7%,5%,10%,9%,10%,17%,9%,28%,6%,11%,10%,6%,
