Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,31,63,110,82,75,103,171,191,228,256,358,355
Expenses+,30,62,108,79,70,97,162,178,206,228,325,320
Operating Profit,1,1,1,3,4,6,9,14,22,28,33,35
OPM %,3%,2%,1%,4%,6%,6%,5%,7%,9%,11%,9%,10%
Other Income+,0,0,1,0,0,0,0,0,1,1,3,3
Interest,1,1,1,1,1,1,1,2,3,5,6,7
Depreciation,0,0,0,1,1,2,2,1,1,1,1,1
Profit before tax,0,0,1,2,3,3,6,11,18,24,28,29
Tax %,62%,37%,34%,35%,26%,23%,5%,5%,6%,6%,6%,
Net Profit+,0,0,1,1,2,3,6,10,17,22,26,28
EPS in Rs,0.01,0.05,0.16,0.15,0.20,0.25,0.55,1.00,1.60,2.12,2.52,2.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
