Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,789","1,646","1,926","1,871","2,055","1,723","1,143","1,438","1,356","1,370","1,136","1,185","1,204"
Expenses+,"1,436","1,516","1,754","1,761","1,903","1,763","1,101","1,243","1,288","1,275","1,245","1,164","1,191"
Operating Profit,353,130,172,110,152,-41,42,195,68,95,-109,21,14
OPM %,20%,8%,9%,6%,7%,-2%,4%,14%,5%,7%,-10%,2%,1%
Other Income+,42,43,88,184,382,523,73,20,10,-918,17,22,6
Interest,60,72,109,136,180,338,227,205,165,201,203,226,224
Depreciation,38,77,102,104,102,84,78,90,75,70,66,61,61
Profit before tax,297,25,49,55,252,61,-189,-80,-162,"-1,093",-362,-245,-266
Tax %,12%,-38%,29%,-18%,13%,36%,-22%,-34%,12%,-3%,-14%,-19%,
Net Profit+,261,33,35,64,219,39,-148,-52,-181,"-1,057",-312,-198,-221
EPS in Rs,23.49,2.85,2.56,5.35,19.00,3.05,-14.15,-5.02,-17.32,-101.14,-29.83,-18.94,-21.13
Dividend Payout %,30%,105%,59%,4%,2%,0%,0%,0%,0%,0%,0%,0%,
