Metric,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,54,140,159,190,168,193,161,132,186,232,245,268,274
Expenses+,52,133,147,172,162,184,148,121,173,214,224,245,252
Operating Profit,1,7,12,18,6,9,12,11,13,18,21,23,23
OPM %,3%,5%,8%,10%,4%,5%,8%,8%,7%,8%,9%,9%,8%
Other Income+,4,1,2,2,4,1,2,1,2,4,4,1,2
Interest,0,5,6,6,6,6,7,5,5,5,5,4,3
Depreciation,1,4,4,5,4,4,6,6,6,6,7,8,7
Profit before tax,5,-0,5,10,0,-1,1,0,4,11,12,13,13
Tax %,33%,100%,37%,43%,-171%,41%,35%,221%,28%,25%,34%,22%,
Net Profit+,3,-0,3,6,0,-1,1,-0,3,8,8,10,10
EPS in Rs,,-0.03,0.85,1.49,0.10,-0.20,0.22,-0.11,0.75,2.27,2.09,2.49,2.65
Dividend Payout %,0%,-468%,18%,13%,177%,-90%,34%,-70%,13%,4%,5%,4%,
