Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,367,458,505,845,956,"1,406","2,002","3,569","4,023","4,576","4,529"
Expenses+,288,375,433,758,855,"1,231","1,782","3,124","3,510","4,046","4,047"
Operating Profit,80,82,72,87,101,175,220,445,514,529,482
OPM %,22%,18%,14%,10%,11%,12%,11%,12%,13%,12%,11%
Other Income+,4,5,5,8,-3,16,20,39,57,28,-102
Interest,1,1,7,12,6,4,7,22,30,42,26
Depreciation,3,5,12,17,23,26,38,82,86,89,90
Profit before tax,80,81,57,65,69,162,195,382,455,426,264
Tax %,22%,25%,17%,15%,16%,18%,13%,13%,15%,22%,
Net Profit+,63,61,48,56,58,133,170,333,389,334,186
EPS in Rs,31.37,12.13,9.74,11.38,11.65,23.10,26.36,52.38,59.74,50.61,27.15
Dividend Payout %,35%,0%,15%,13%,13%,9%,19%,21%,18%,22%,
