Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,27,41,111,60,158,75,72,250,438,471,936,"1,133"
Expenses+,22,32,82,50,125,64,54,216,367,386,761,906
Operating Profit,5,10,29,10,33,11,18,34,70,85,176,227
OPM %,18%,23%,26%,17%,21%,14%,25%,14%,16%,18%,19%,20%
Other Income+,0,0,0,0,0,1,1,3,5,13,20,12
Interest,0,1,2,3,5,5,5,5,6,13,29,34
Depreciation,0,1,1,3,4,4,5,6,5,8,13,19
Profit before tax,4,8,26,4,25,3,9,27,64,76,154,187
Tax %,33%,34%,35%,50%,22%,60%,36%,33%,31%,24%,25%,
Net Profit+,3,5,17,2,19,1,6,18,44,58,115,134
EPS in Rs,1.51,0.78,2.53,0.28,2.92,0.17,0.91,2.74,6.58,8.74,17.29,20.00
Dividend Payout %,0%,0%,6%,9%,6%,0%,0%,6%,2%,6%,3%,
