Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,689,"1,629",961,910,"1,217","1,054","1,315","1,405","1,320","1,411","1,150",988,"1,779"
Expenses+,378,689,593,436,579,544,526,590,506,555,532,467,759
Operating Profit,310,940,369,474,638,509,789,815,814,856,618,520,"1,020"
OPM %,45%,58%,38%,52%,52%,48%,60%,58%,62%,61%,54%,53%,57%
Other Income+,124,36,94,25,28,31,247,39,41,52,63,93,77
Interest,36,38,62,62,56,50,50,59,52,75,80,75,71
Depreciation,10,10,10,11,11,11,14,20,21,23,24,32,33
Profit before tax,388,929,391,426,599,479,971,775,782,810,577,507,993
Tax %,18%,24%,-23%,25%,24%,25%,19%,25%,25%,24%,25%,17%,23%
Net Profit+,319,703,480,322,457,360,788,585,589,618,433,421,760
EPS in Rs,8.76,19.32,13.21,8.85,12.56,9.91,21.67,16.08,16.21,17.01,11.91,11.59,20.91
Raw PDF,,,,,,,,,,,,,
