Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,74,110,138,206,228,453,862,"1,088","1,483","1,449","1,264"
Expenses+,60,93,110,154,156,321,558,595,826,932,783
Operating Profit,14,17,28,51,73,132,304,493,657,517,481
OPM %,19%,16%,20%,25%,32%,29%,35%,45%,44%,36%,38%
Other Income+,0,0,2,1,0,1,2,13,5,21,19
Interest,3,3,5,11,18,25,32,58,90,90,109
Depreciation,2,2,2,5,4,4,9,12,14,18,19
Profit before tax,9,12,23,37,51,103,265,436,558,431,372
Tax %,33%,35%,33%,32%,21%,22%,24%,24%,24%,24%,
Net Profit+,6,8,15,25,41,81,202,331,426,328,278
EPS in Rs,2.66,3.38,1.23,2.01,2.51,4.96,12.36,20.21,22.22,15.01,12.72
Dividend Payout %,0%,0%,0%,0%,4%,8%,10%,8%,8%,9%,
