Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,817","4,625","1,915","2,694","2,162",15,36,222,232,84,409,101,71
Expenses+,"3,812","4,617","1,907","2,631","2,132",28,39,14,21,22,26,45,43
Operating Profit,5,8,7,63,30,-12,-4,209,212,62,383,56,28
OPM %,0%,0%,0%,2%,1%,-82%,-10%,94%,91%,74%,94%,55%,40%
Other Income+,0,1,5,-5,-0,0,0,0,0,0,9,7,5
Interest,0,0,2,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,1,1,1,1,1,4,6,4,4
Profit before tax,4,8,10,58,30,-13,-5,208,210,58,386,58,29
Tax %,16%,10%,10%,23%,15%,-68%,-914%,-7%,-0%,4%,16%,21%,
Net Profit+,4,7,9,44,25,-4,39,221,210,56,324,46,24
EPS in Rs,0.96,1.84,2.29,11.43,6.51,-1.08,10.15,57.25,54.37,14.48,93.21,13.28,6.93
Dividend Payout %,0%,0%,0%,9%,15%,-93%,15%,3%,3%,0%,3%,11%,
