Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,20,16,23,25,20,13,11,23,32,16,49,31
Expenses+,14,9,13,10,10,13,14,8,11,15,13,18
Operating Profit,6,7,10,14,10,0,-3,15,20,1,36,13
OPM %,31%,42%,42%,58%,50%,2%,-23%,66%,64%,5%,73%,43%
Other Income+,1,0,0,0,-0,1,0,0,0,0,0,0
Interest,2,4,3,3,2,1,1,1,1,0,0,1
Depreciation,1,1,1,4,1,1,1,1,1,1,1,1
Profit before tax,4,3,6,7,7,-1,-4,13,19,-0,35,12
Tax %,31%,33%,31%,23%,21%,20%,-3%,15%,14%,"3,320%",22%,7%
Net Profit+,3,2,4,6,6,-1,-4,11,16,-2,27,15
EPS in Rs,4.30,2.41,6.41,8.22,8.14,-1.51,-6.01,16.06,22.91,-2.32,38.17,20.76
Dividend Payout %,18%,33%,12%,10%,20%,-53%,-13%,5%,3%,-34%,2%,4%
