Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,195,240,193,264,231,374,296,415,380,591,499,632,709
Expenses+,184,202,179,228,211,313,265,360,347,479,441,545,623
Operating Profit,10,38,14,36,20,61,31,55,33,111,58,87,85
OPM %,5%,16%,7%,14%,9%,16%,11%,13%,9%,19%,12%,14%,12%
Other Income+,1,2,2,1,2,3,1,1,3,1,2,1,1
Interest,11,10,9,10,12,12,13,14,15,18,21,23,28
Depreciation,16,18,17,18,18,21,19,21,23,26,28,32,38
Profit before tax,-15,12,-10,8,-8,31,0,22,-2,69,10,33,21
Tax %,-25%,26%,-25%,26%,-33%,25%,"-7,100%",25%,-20%,25%,38%,26%,18%
Net Profit+,-12,9,-8,6,-6,24,4,16,-2,51,6,25,17
EPS in Rs,-3.37,2.71,-2.24,1.80,-1.65,6.81,1.04,4.72,-0.56,14.80,1.86,7.13,4.98
Raw PDF,,,,,,,,,,,,,
