Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,337","5,264","5,924","6,638","6,050","6,527","6,741","7,340","9,311","8,094","9,679","10,545","10,269"
Expenses+,"3,416","3,987","4,325","5,054","4,926","5,458","5,526","5,988","7,950","7,341","8,310","9,246","9,090"
Operating Profit,921,"1,278","1,599","1,584","1,124","1,068","1,215","1,352","1,362",753,"1,369","1,299","1,179"
OPM %,21%,24%,27%,24%,19%,16%,18%,18%,15%,9%,14%,12%,11%
Other Income+,104,91,84,-384,81,-187,139,68,63,121,146,152,133
Interest,235,283,237,158,141,159,178,198,131,130,153,217,217
Depreciation,686,333,372,505,504,436,481,454,420,442,394,373,364
Profit before tax,104,753,"1,074",536,560,287,694,769,873,302,967,860,731
Tax %,19%,28%,30%,32%,29%,21%,24%,28%,30%,33%,30%,25%,
Net Profit+,84,544,749,362,398,226,524,551,607,203,673,644,547
EPS in Rs,0.92,5.37,7.33,3.56,3.83,2.09,5.05,5.37,5.98,1.98,7.01,6.58,5.57
Dividend Payout %,33%,20%,18%,18%,17%,14%,20%,3%,2%,5%,1%,3%,
