Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,227,263,292,340,358,362,323,251,338,407,477,525,593
Expenses+,196,224,241,285,306,312,276,230,294,343,408,434,488
Operating Profit,31,39,51,55,51,51,46,21,44,63,70,91,105
OPM %,13%,15%,17%,16%,14%,14%,14%,8%,13%,16%,15%,17%,18%
Other Income+,2,3,2,2,3,4,8,6,6,7,33,18,14
Interest,0,0,0,1,0,0,0,0,0,0,0,0,0
Depreciation,5,5,5,5,5,5,4,6,6,9,8,10,10
Profit before tax,27,38,48,51,48,50,50,21,43,61,95,98,108
Tax %,34%,35%,34%,36%,34%,36%,30%,27%,25%,25%,23%,26%,
Net Profit+,18,25,32,33,32,32,35,15,33,46,73,73,79
EPS in Rs,27.90,38.50,49.68,51.80,49.43,50.17,54.07,24.18,51.15,71.98,114.27,114.35,124.07
Dividend Payout %,88%,55%,53%,44%,51%,50%,46%,62%,49%,56%,22%,22%,
