Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,46,62,56,87,102,93,91,116,170,138,235,247,206
Expenses+,34,41,39,48,58,58,58,67,97,86,128,152,130
Operating Profit,11,20,17,39,44,35,33,49,73,51,107,95,76
OPM %,25%,33%,30%,45%,43%,38%,36%,42%,43%,37%,45%,38%,37%
Other Income+,-4,0,0,0,0,1,0,0,0,1,3,7,7
Interest,1,3,3,13,14,11,9,4,7,11,14,22,19
Depreciation,1,1,1,1,1,1,1,1,1,2,2,3,3
Profit before tax,5,16,13,25,30,24,23,44,65,39,93,77,60
Tax %,26%,31%,33%,33%,31%,31%,24%,21%,23%,26%,24%,24%,
Net Profit+,4,11,9,17,21,17,17,35,50,29,71,59,46
EPS in Rs,0.35,1.06,0.82,1.60,1.99,1.61,1.68,3.33,4.84,2.80,6.77,5.64,4.40
Dividend Payout %,42%,14%,18%,9%,8%,9%,12%,6%,6%,14%,7%,9%,
