Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,693,882,"1,046","1,109","1,191","1,348","1,376","1,292","1,285","1,535","1,716","1,713"
Interest,431,548,646,649,720,825,807,690,701,846,966,977
Expenses+,72,99,116,151,110,153,182,344,182,152,143,142
Financing Profit,189,234,284,309,361,370,386,258,402,537,608,594
Financing Margin %,27%,27%,27%,28%,30%,27%,28%,20%,31%,35%,35%,35%
Other Income+,0,0,0,1,4,3,17,15,14,2,4,32
Depreciation,3,4,4,3,5,13,13,13,15,18,29,33
Profit before tax,186,230,280,307,360,360,390,260,401,522,584,593
Tax %,34%,35%,35%,35%,35%,22%,26%,26%,26%,25%,25%,
Net Profit+,125,154,188,201,249,298,300,194,316,413,461,464
EPS in Rs,20.10,24.63,30.00,32.13,39.81,47.66,47.99,31.03,50.56,66.04,73.76,74.18
Dividend Payout %,7%,7%,7%,7%,6%,5%,5%,8%,5%,5%,5%,
