Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,541,531,565,702,837,"1,072","1,005","1,095","1,369","1,578","1,475","1,537","1,606"
Expenses+,500,506,533,675,802,"1,008",977,"1,001","1,301","1,506","1,423","1,505","1,560"
Operating Profit,41,25,32,27,35,64,28,94,68,72,52,31,46
OPM %,8%,5%,6%,4%,4%,6%,3%,9%,5%,5%,4%,2%,3%
Other Income+,43,27,15,7,45,7,22,8,29,10,16,-19,-21
Interest,17,9,14,20,24,36,37,32,27,36,43,46,46
Depreciation,24,30,34,45,47,49,56,58,57,59,59,63,64
Profit before tax,43,13,-1,-32,10,-15,-43,11,13,-12,-34,-96,-85
Tax %,20%,7%,414%,-25%,-20%,30%,-26%,-40%,83%,5%,61%,12%,
Net Profit+,34,12,-7,-24,12,-20,-32,16,2,-13,-55,-108,-99
EPS in Rs,7.72,2.82,-1.65,-3.38,3.22,-3.42,-5.90,3.32,1.56,-2.01,-8.79,-19.13,-17.12
Dividend Payout %,19%,53%,-91%,-44%,47%,-22%,0%,0%,64%,0%,0%,0%,
