Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,464","5,705","5,484","5,766","6,282","6,985","6,779","7,610","9,363","11,315","11,943","13,218","14,023"
Expenses+,"4,790","5,013","4,694","5,096","5,652","6,332","6,052","6,617","8,640","10,341","10,291","11,742","12,402"
Operating Profit,673,692,789,670,630,652,727,993,724,974,"1,653","1,475","1,620"
OPM %,12%,12%,14%,12%,10%,9%,11%,13%,8%,9%,14%,11%,12%
Other Income+,3,16,7,28,9,10,8,10,17,-8,-18,8,-24
Interest,187,142,101,90,104,93,154,179,210,242,269,278,318
Depreciation,87,93,108,143,169,193,277,340,435,469,509,563,619
Profit before tax,403,472,587,466,367,376,304,484,95,254,857,643,659
Tax %,33%,33%,32%,23%,36%,33%,24%,11%,26%,28%,26%,27%,
Net Profit+,271,314,436,359,233,251,230,432,71,182,635,471,494
EPS in Rs,75.44,78.41,108.17,89.28,58.83,62.35,57.17,106.81,17.60,46.02,158.87,116.85,122.38
Dividend Payout %,13%,13%,11%,13%,20%,19%,21%,17%,17%,26%,19%,3%,
