Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,214,246,322,574,581,676,650
Expenses+,156,163,228,420,468,555,537
Operating Profit,58,83,94,154,113,121,113
OPM %,27%,34%,29%,27%,19%,18%,17%
Other Income+,4,1,9,19,6,5,7
Interest,5,7,7,15,22,22,24
Depreciation,12,13,14,19,23,32,35
Profit before tax,46,65,82,140,73,72,61
Tax %,31%,29%,26%,26%,23%,26%,
Net Profit+,31,46,61,103,56,53,45
EPS in Rs,11.70,14.98,19.79,33.62,18.24,17.19,14.54
Dividend Payout %,43%,40%,15%,0%,0%,0%,
