Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,745.22,651.97,670.17,498.01,440.60,369.22,380.65,450.97,380.63,414.81,359.02,377.84,362.63
Expenses+,737.08,612.19,765.50,494.65,425.11,393.43,424.51,439.02,422.43,398.91,371.87,391.88,375.34
Operating Profit,8.14,39.78,-95.33,3.36,15.49,-24.21,-43.86,11.95,-41.80,15.90,-12.85,-14.04,-12.71
OPM %,1.09%,6.10%,-14.22%,0.67%,3.52%,-6.56%,-11.52%,2.65%,-10.98%,3.83%,-3.58%,-3.72%,-3.50%
Other Income+,35.62,6.06,20.62,6.32,81.91,"3,897.79",71.00,22.20,531.65,89.58,36.37,36.63,29.58
Interest,128.60,138.64,134.92,114.64,148.11,58.41,5.19,5.58,7.70,3.30,2.66,3.61,3.61
Depreciation,7.99,7.98,9.40,7.87,7.89,7.79,7.79,8.09,8.27,8.27,8.25,7.84,8.53
Profit before tax,-92.83,-100.78,-219.03,-112.83,-58.60,"3,807.38",14.16,20.48,473.88,93.91,12.61,11.14,4.73
Tax %,0.20%,0.00%,12.35%,6.19%,-11.28%,19.79%,-369.35%,24.12%,17.06%,25.40%,8.49%,-23.97%,59.41%
Net Profit+,-93.02,-100.78,-246.09,-119.81,-51.99,"3,053.97",66.46,15.54,393.02,70.06,11.54,13.81,1.92
EPS in Rs,-4.50,-4.88,-11.92,-5.80,-2.52,147.87,3.22,0.75,19.03,3.39,0.56,0.67,0.09
Raw PDF,,,,,,,,,,,,,
