Metric,Mar 2006,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,195,471,749,914,722,746,971,"1,169","1,107",927,876
Expenses+,178,415,654,800,638,656,889,"1,028",957,791,763
Operating Profit,17,56,95,113,84,90,82,141,150,136,114
OPM %,9%,12%,13%,12%,12%,12%,8%,12%,14%,15%,13%
Other Income+,7,7,20,17,11,10,8,8,87,12,14
Interest,5,4,24,29,33,23,26,33,38,21,17
Depreciation,9,26,39,42,43,43,52,82,61,63,65
Profit before tax,9,33,52,59,19,34,11,34,138,63,46
Tax %,40%,38%,34%,39%,56%,15%,110%,32%,17%,36%,
Net Profit+,6,20,34,36,8,29,-1,23,114,40,29
EPS in Rs,,10.73,18.24,18.96,4.41,15.34,-0.59,12.31,60.84,21.48,15.22
Dividend Payout %,42%,23%,19%,18%,34%,13%,-256%,20%,8%,23%,
