Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,216,314,183,113,153,496,609,568,635,649,665,622,666
Expenses+,204,292,172,105,138,425,479,432,486,494,501,479,530
Operating Profit,12,22,11,8,15,71,131,136,149,154,164,144,136
OPM %,6%,7%,6%,7%,10%,14%,21%,24%,23%,24%,25%,23%,20%
Other Income+,1,1,1,1,1,1,1,3,6,4,4,2,6
Interest,6,3,4,3,4,5,8,8,11,12,13,10,13
Depreciation,5,5,4,5,5,5,5,5,5,5,5,6,7
Profit before tax,3,15,3,1,7,63,119,126,138,142,150,130,122
Tax %,30%,24%,24%,-41%,21%,28%,25%,26%,27%,26%,27%,25%,25%
Net Profit+,2,11,2,1,6,45,90,93,101,104,110,97,91
EPS in Rs,0.17,1.02,0.20,0.09,0.53,4.10,7.46,7.71,8.44,8.66,9.17,8.06,7.35
Raw PDF,,,,,,,,,,,,,
