Metric,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,501,774,162,390,"1,067","1,396","1,688"
Expenses+,398,646,198,306,693,980,"1,134"
Operating Profit,103,128,-36,84,374,417,554
OPM %,21%,16%,-22%,21%,35%,30%,33%
Other Income+,5,15,20,57,84,133,122
Interest,10,2,5,45,48,52,46
Depreciation,22,21,22,79,83,111,126
Profit before tax,76,119,-43,17,327,387,504
Tax %,33%,29%,25%,70%,23%,23%,25%
Net Profit+,51,104,-57,5,251,298,380
EPS in Rs,103.51,268.84,-147.64,13.09,629.55,742.80,27.58
Dividend Payout %,0%,0%,0%,0%,0%,50%,31%
