Metric,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,121",144,134,147,125,124,74,74,78,127,157,222,224
Expenses+,"1,018",134,128,140,114,106,71,62,64,87,101,128,127
Operating Profit,103,10,6,7,11,18,3,11,14,40,57,94,97
OPM %,9%,7%,5%,5%,9%,15%,4%,15%,18%,32%,36%,42%,43%
Other Income+,16,21,25,25,37,29,93,10,89,54,55,75,76
Interest,32,1,0,0,0,0,0,0,0,0,1,2,2
Depreciation,43,6,6,5,4,3,3,4,5,7,8,11,11
Profit before tax,44,23,25,27,44,45,93,17,98,87,103,156,159
Tax %,10%,-3%,2%,-3%,5%,8%,0%,19%,12%,7%,10%,7%,
Net Profit+,40,107,235,145,163,213,329,343,222,191,269,311,324
EPS in Rs,1.48,3.99,8.78,5.45,6.10,8.30,12.82,13.35,8.65,7.42,10.46,12.10,12.62
Dividend Payout %,17%,4%,2%,4%,3%,2%,5%,2%,21%,30%,23%,20%,
