Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,472,445,752,"1,050","1,499","1,241","1,748","1,938","2,506","2,512","2,524"
Expenses+,438,378,646,901,"1,308","1,106","1,490","1,708","2,245","2,333","2,381"
Operating Profit,35,67,106,149,191,135,258,230,261,179,143
OPM %,7%,15%,14%,14%,13%,11%,15%,12%,10%,7%,6%
Other Income+,10,13,18,22,24,17,22,25,24,17,17
Interest,3,8,9,10,15,15,26,32,51,44,44
Depreciation,7,8,11,24,27,26,32,40,65,73,75
Profit before tax,35,65,102,137,173,111,222,183,169,80,41
Tax %,37%,36%,36%,35%,26%,25%,25%,26%,27%,27%,
Net Profit+,23,42,66,89,128,81,167,132,123,56,28
EPS in Rs,71.34,14.41,18.20,24.84,35.69,22.65,46.29,36.65,34.16,14.23,7.09
Dividend Payout %,21%,17%,27%,20%,14%,18%,11%,7%,0%,0%,
