Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,77.25,91.18,63.20,79.49,82.56,90.14
Expenses+,76.68,105.43,92.93,97.36,90.60,93.18
Operating Profit,0.57,-14.25,-29.73,-17.87,-8.04,-3.04
OPM %,0.74%,-15.63%,-47.04%,-22.48%,-9.74%,-3.37%
Other Income+,0.68,0.80,0.57,0.92,0.88,8.00
Interest,3.10,3.10,2.18,0.84,1.03,1.16
Depreciation,7.14,7.35,7.03,1.77,1.60,1.59
Profit before tax,-8.99,-23.90,-38.37,-19.56,-9.79,2.21
Tax %,115.46%,-19.21%,-19.08%,0.15%,1.84%,
Net Profit+,-19.38,-19.31,-31.04,-19.59,-9.97,2.03
EPS in Rs,-7.40,-4.31,-7.97,-7.46,-3.38,0.43
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,
