Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,213.35,112.91,161.18,161.78,199.90,164.60,161.59,192.56,251.28,223.61,262.68,170.96,118.46
Expenses+,160.56,86.89,129.64,115.49,131.43,111.16,120.60,131.53,165.18,146.04,161.58,113.36,94.67
Operating Profit,52.79,26.02,31.54,46.29,68.47,53.44,40.99,61.03,86.10,77.57,101.10,57.60,23.79
OPM %,24.74%,23.04%,19.57%,28.61%,34.25%,32.47%,25.37%,31.69%,34.26%,34.69%,38.49%,33.69%,20.08%
Other Income+,0.78,1.16,3.23,1.76,4.66,0.22,1.88,4.83,2.27,10.87,3.43,0.11,7.40
Interest,9.34,12.21,11.34,9.74,11.46,9.00,8.87,8.81,9.33,8.57,10.38,7.69,8.97
Depreciation,10.46,10.56,10.11,11.21,9.89,10.54,11.17,11.36,10.52,10.62,11.69,12.13,12.39
Profit before tax,33.77,4.41,13.32,27.10,51.78,34.12,22.83,45.69,68.52,69.25,82.46,37.89,9.83
Tax %,28.90%,40.36%,19.74%,33.84%,36.87%,37.78%,32.02%,27.58%,34.38%,26.93%,28.57%,25.31%,35.61%
Net Profit+,24.01,2.62,10.69,17.92,32.70,21.23,15.51,33.09,44.96,50.60,58.90,28.29,6.33
EPS in Rs,7.74,0.85,3.45,5.78,10.55,6.85,5.00,10.67,14.50,16.32,19.00,9.12,2.04
Raw PDF,,,,,,,,,,,,,
