Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,516,474,523,537,578,573,584,620,669,634,769,895,"1,007"
Expenses+,453,423,462,473,511,505,510,539,592,559,689,796,889
Operating Profit,62,51,61,65,66,68,74,80,77,75,80,99,118
OPM %,12%,11%,12%,12%,12%,12%,13%,13%,12%,12%,10%,11%,12%
Other Income+,10,1,2,3,4,2,4,2,6,4,4,2,3
Interest,5,4,5,5,5,5,4,3,3,2,5,6,7
Depreciation,20,20,17,20,21,21,20,20,21,22,26,29,30
Profit before tax,48,27,41,43,44,44,55,59,60,54,53,66,85
Tax %,1%,2%,28%,26%,25%,23%,24%,23%,25%,24%,34%,25%,24%
Net Profit+,48,27,30,32,33,34,42,46,45,41,35,50,64
EPS in Rs,3.90,2.20,2.44,2.62,2.72,2.79,3.40,3.74,3.70,3.40,2.87,4.09,5.25
Raw PDF,,,,,,,,,,,,,
