Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,078","1,091","1,205","1,064","1,122","1,152","1,208","1,096","1,179","1,156","1,222","1,103","1,186"
Expenses+,948,958,"1,029",895,942,973,"1,036",927,"1,023","1,003","1,083",916,973
Operating Profit,129,133,176,169,179,178,172,169,156,152,138,187,213
OPM %,12%,12%,15%,16%,16%,16%,14%,15%,13%,13%,11%,17%,18%
Other Income+,4,7,6,9,8,11,15,5,10,4,-11,12,15
Interest,3,8,7,5,4,5,5,3,5,7,6,5,6
Depreciation,34,33,34,31,36,39,42,42,41,40,43,44,42
Profit before tax,97,100,140,143,147,146,140,128,121,110,78,150,181
Tax %,29%,26%,21%,24%,25%,26%,25%,28%,29%,28%,44%,26%,26%
Net Profit+,69,74,111,109,111,108,104,92,86,79,43,110,134
EPS in Rs,4.39,4.67,6.78,6.75,6.78,6.54,6.43,5.64,5.29,4.88,2.67,6.84,8.35
Raw PDF,,,,,,,,,,,,,
