Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,225,236,295,458,617,823,"1,133","1,182"
Expenses+,185,188,225,335,436,612,841,908
Operating Profit,40,48,70,123,181,211,292,274
OPM %,18%,20%,24%,27%,29%,26%,26%,23%
Other Income+,-1,0,0,0,2,1,0,34
Interest,3,3,2,3,2,2,2,3
Depreciation,8,8,8,13,24,25,28,30
Profit before tax,29,37,61,107,157,186,262,275
Tax %,27%,26%,25%,25%,26%,25%,25%,
Net Profit+,21,28,45,80,117,139,196,205
EPS in Rs,203.37,269.45,438.27,19.40,28.18,33.51,47.25,49.58
Dividend Payout %,22%,1%,1%,5%,5%,6%,5%,
