Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,016","3,210","3,268","4,348","5,730","6,549","6,916","6,785","7,461","8,682","9,656","9,214","9,732"
Expenses+,"2,759","2,908","2,982","3,724","4,922","5,600","5,569","5,434","6,351","7,898","8,216","7,994","8,299"
Operating Profit,258,302,286,624,808,949,"1,347","1,352","1,110",785,"1,440","1,221","1,433"
OPM %,9%,9%,9%,14%,14%,14%,19%,20%,15%,9%,15%,13%,15%
Other Income+,113,143,146,139,62,78,74,28,67,107,90,56,84
Interest,86,78,82,277,378,371,388,296,243,339,372,327,293
Depreciation,133,154,149,256,332,339,352,371,397,510,578,572,546
Profit before tax,152,213,201,230,160,317,682,713,538,43,580,378,678
Tax %,15%,18%,17%,5%,4%,19%,26%,12%,26%,6%,27%,22%,
Net Profit+,130,175,168,219,154,256,505,630,399,40,421,295,498
EPS in Rs,16.86,22.76,21.78,28.50,19.99,33.20,65.60,81.83,51.76,5.26,54.61,38.34,64.65
Dividend Payout %,36%,26%,28%,23%,33%,23%,11%,12%,19%,48%,18%,26%,
