Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,222","1,536","1,313","1,899","1,843","1,893","1,664","2,106","2,004","2,061","1,969","2,408","2,074"
Expenses+,"1,180","1,472","1,277","1,775","1,741","1,777","1,573","1,970","1,879","1,945","1,871","2,281","1,966"
Operating Profit,42,64,36,124,103,116,91,136,125,116,98,127,108
OPM %,3%,4%,3%,7%,6%,6%,5%,6%,6%,6%,5%,5%,5%
Other Income+,13,26,11,33,28,48,29,28,43,18,50,45,64
Interest,19,28,23,26,23,24,26,22,24,26,24,24,24
Depreciation,31,32,30,30,31,33,33,34,35,37,36,36,39
Profit before tax,5,30,-6,101,77,107,61,109,110,71,88,111,110
Tax %,100%,12%,74%,28%,32%,16%,7%,33%,35%,35%,28%,34%,36%
Net Profit+,0,27,-10,71,51,91,58,73,72,47,66,74,71
EPS in Rs,0.02,0.39,-0.15,1.55,1.00,1.75,1.20,1.60,1.38,1.05,1.37,1.53,1.41
Raw PDF,,,,,,,,,,,,,
