Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3.66,3.95,3.96,3.67,2.90,2.10,1.81,2.03,1.80,1.04,0.76,0.61,0.00
Expenses+,9.93,6.39,1.01,1.18,4.32,2.06,2.06,1.39,2.34,1.61,1.48,2.04,1.61
Operating Profit,-6.27,-2.44,2.95,2.49,-1.42,0.04,-0.25,0.64,-0.54,-0.57,-0.72,-1.43,-1.61
OPM %,-171.31%,-61.77%,74.49%,67.85%,-48.97%,1.90%,-13.81%,31.53%,-30.00%,-54.81%,-94.74%,-234.43%,
Other Income+,0.73,0.15,0.00,1.29,4.35,0.90,0.74,0.00,1.75,0.00,0.06,1.06,0.76
Interest,0.00,0.04,0.00,1.41,0.99,1.09,0.96,0.01,0.01,0.01,0.00,0.19,0.25
Depreciation,0.36,0.52,0.32,0.32,0.32,0.32,0.29,0.33,0.33,0.34,0.30,0.30,0.28
Profit before tax,-5.90,-2.85,2.63,2.05,1.62,-0.47,-0.76,0.30,0.87,-0.92,-0.96,-0.86,-1.38
Tax %,0.00%,0.00%,20.53%,21.95%,93.83%,95.74%,-59.21%,143.33%,45.98%,428.26%,-2.08%,38.37%,
Net Profit+,-5.90,-2.85,2.10,1.60,0.11,-0.91,-0.32,-0.13,0.48,-4.85,-0.94,-1.19,-1.38
EPS in Rs,-2.68,-1.29,0.95,0.72,0.05,-0.41,-0.14,-0.06,0.22,-2.19,-0.42,-0.54,-0.63
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
