Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,361","2,095","2,234","2,450","2,545","2,561","2,685","2,826","2,913","2,859","2,963","3,319","3,583"
Expenses+,"2,089","1,856","1,949","2,129","2,227","2,262","2,295","2,451","2,531","2,487","2,541","2,875","3,106"
Operating Profit,272,240,285,321,318,299,389,374,382,373,422,444,477
OPM %,12%,11%,13%,13%,13%,12%,14%,13%,13%,13%,14%,13%,13%
Other Income+,8,12,21,17,16,27,27,34,27,22,47,36,21
Interest,6,5,8,9,10,11,13,11,12,11,12,14,14
Depreciation,99,102,122,113,118,114,128,129,131,136,142,164,180
Profit before tax,175,145,177,216,206,201,275,268,266,247,314,302,304
Tax %,25%,25%,23%,24%,25%,24%,24%,24%,24%,25%,22%,25%,25%
Net Profit+,131,108,136,164,155,152,210,204,203,184,245,226,227
EPS in Rs,9.35,7.69,9.70,11.62,10.99,10.83,14.94,14.49,14.43,13.11,17.43,16.09,16.16
Raw PDF,,,,,,,,,,,,,
