Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,"1,115",861,"1,010","1,082","1,081","1,297","1,185","1,233","1,180","1,013"
Expenses+,"1,031",783,"1,059",997,"1,025","1,232","1,135","1,224","1,148",977
Operating Profit,84,78,-49,85,57,65,51,9,32,36
OPM %,8%,9%,-5%,8%,5%,5%,4%,1%,3%,4%
Other Income+,9,37,2,-7,4,4,-8,18,15,20
Interest,140,123,72,57,52,50,45,25,31,17
Depreciation,66,47,58,48,47,46,42,32,28,28
Profit before tax,-113,-55,-177,-27,-38,-27,-45,-31,-12,11
Tax %,1%,-1%,3%,17%,0%,1%,3%,1%,1%,
Net Profit+,-114,-54,-182,-31,-38,-27,-46,-31,-12,9
EPS in Rs,-29.88,-14.40,-48.43,-9.38,-8.32,-5.31,-9.65,-7.48,-2.94,2.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
