Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,40,112,136,380,501,656,914,"1,123"
Expenses+,94,136,132,392,473,618,842,"1,064"
Operating Profit,-54,-24,3,-12,29,38,72,59
OPM %,-134%,-22%,2%,-3%,6%,6%,8%,5%
Other Income+,2,1,3,5,4,39,23,23
Interest,2,1,2,3,1,3,2,2
Depreciation,4,2,2,8,11,13,10,12
Profit before tax,-57,-27,3,-18,21,61,82,68
Tax %,0%,0%,-179%,20%,-13%,-20%,26%,
Net Profit+,-57,-27,8,-21,23,73,60,48
EPS in Rs,"-1,330.01",-616.97,174.59,-0.66,0.58,2.03,1.54,1.24
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
