Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"5,116","5,396","5,443","5,622","5,700","5,816","5,990","5,470","5,588","6,517","8,213","9,678","10,381"
Interest,"3,832","3,930","3,662","3,549","3,402","3,453","3,642","3,111","2,872","3,168","4,395","5,418","5,870"
Expenses+,"1,378","1,503","1,494","1,887","2,609","2,902","3,112","2,620","2,434","2,965","3,267","3,385","3,673"
Financing Profit,-94,-37,288,187,-311,-539,-764,-260,281,384,551,875,838
Financing Margin %,-2%,-1%,5%,3%,-5%,-9%,-13%,-5%,5%,6%,7%,9%,8%
Other Income+,564,590,707,782,900,963,"1,155",919,769,"1,159","1,649","1,830","1,934"
Depreciation,75,81,83,86,85,101,119,124,119,106,100,114,0
Profit before tax,395,471,912,883,504,322,272,534,931,"1,437","2,100","2,591","2,772"
Tax %,-9%,2%,38%,31%,31%,35%,14%,33%,28%,23%,24%,25%,
Net Profit+,430,464,568,606,346,211,235,359,673,"1,106","1,605","1,942","2,105"
EPS in Rs,5.20,4.95,6.05,6.46,3.60,2.20,2.45,3.75,7.01,11.49,16.63,20.10,21.79
Dividend Payout %,32%,34%,30%,26%,13%,23%,0%,11%,19%,14%,12%,11%,
