Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2020,Mar 2024,Mar 2025,TTM
Sales+,683,847,"1,055","1,318","1,627","7,595","13,767","15,260","15,168"
Expenses+,597,754,948,"1,213","1,457","7,316","12,878","14,527","14,533"
Operating Profit,86,93,107,104,170,279,890,733,635
OPM %,13%,11%,10%,8%,10%,4%,6%,5%,4%
Other Income+,8,-0,2,6,9,-4,76,109,92
Interest,2,3,4,7,2,83,16,16,16
Depreciation,22,12,15,17,28,181,191,180,174
Profit before tax,70,78,91,88,150,10,759,646,537
Tax %,36%,36%,37%,45%,36%,-131%,26%,26%,
Net Profit+,45,50,57,49,96,23,563,479,396
EPS in Rs,16.07,17.75,20.38,17.24,23.56,5.28,130.13,110.67,91.45
Dividend Payout %,44%,39%,34%,41%,34%,57%,12%,18%,
