Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,795","2,320","2,825","2,973","3,601","4,930","5,070","4,992","5,999","8,100","9,798","10,037","9,458"
Expenses+,"1,413","1,847","1,907","2,037","2,462","3,537","3,495","3,455","4,210","6,132","7,564","7,117","6,538"
Operating Profit,382,473,918,935,"1,140","1,393","1,575","1,536","1,789","1,969","2,235","2,920","2,920"
OPM %,21%,20%,33%,31%,32%,28%,31%,31%,30%,24%,23%,29%,31%
Other Income+,14,29,24,82,111,17,93,147,485,64,312,170,190
Interest,134,272,800,908,994,"1,021","1,043",970,"1,004","1,104","1,310","1,245","1,249"
Depreciation,139,152,269,264,291,258,300,276,338,341,367,290,234
Profit before tax,124,78,-126,-155,-35,131,326,438,932,588,870,"1,555","1,628"
Tax %,56%,102%,77%,45%,239%,131%,51%,38%,17%,50%,40%,-12%,
Net Profit+,55,-1,-224,-225,-119,-40,160,273,771,294,521,"1,734","1,803"
EPS in Rs,4.11,3.42,-3.04,-7.31,-3.96,-1.19,5.89,9.84,27.73,10.42,17.92,60.35,62.74
Dividend Payout %,24%,27%,-33%,-15%,-13%,0%,0%,0%,0%,0%,0%,0%,
