Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,470,184,452,274,76,18,0,0,0,137,745,849,907
Expenses+,520,186,603,293,92,30,1,0,2,135,718,820,866
Operating Profit,-50,-3,-151,-19,-16,-12,-1,-0,-2,2,27,30,42
OPM %,-11%,-1%,-34%,-7%,-21%,-65%,,,,1%,4%,3%,5%
Other Income+,3,8,2,2,0,0,3,1,671,0,5,5,4
Interest,49,71,89,2,0,0,0,0,0,1,11,14,14
Depreciation,32,42,49,48,37,37,36,36,28,13,11,12,13
Profit before tax,-128,-108,-287,-66,-53,-48,-34,-35,641,-13,10,8,18
Tax %,-31%,-31%,0%,0%,0%,0%,0%,0%,0%,-1%,59%,-67%,
Net Profit+,-88,-75,-287,-66,-53,-48,-34,-35,641,-12,4,14,23
EPS in Rs,-3.29,-2.81,-8.27,-1.91,-1.52,-1.39,-0.98,-1.00,"2,807.32",-0.22,0.07,0.25,0.42
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
