Metric,Jun 2014,Mar 20159m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,70.47,60.60,102.76,81.15,82.27,53.83,10.17,4.81,3.56,0.79,8.21,0.00,0.11
Expenses+,67.37,56.32,99.75,77.19,78.18,51.52,23.60,4.25,2.78,1.00,22.30,0.59,0.92
Operating Profit,3.10,4.28,3.01,3.96,4.09,2.31,-13.43,0.56,0.78,-0.21,-14.09,-0.59,-0.81
OPM %,4.40%,7.06%,2.93%,4.88%,4.97%,4.29%,-132.06%,11.64%,21.91%,-26.58%,-171.62%,,-736.36%
Other Income+,0.02,0.04,0.02,0.02,0.03,0.08,0.14,0.30,0.01,0.16,0.31,0.02,0.02
Interest,1.21,0.90,1.02,1.35,1.41,1.30,0.32,0.17,0.67,0.70,1.10,0.57,0.45
Depreciation,0.75,1.11,1.86,0.97,1.00,0.87,0.74,0.64,0.69,0.65,0.66,0.64,0.72
Profit before tax,1.16,2.31,0.15,1.66,1.71,0.22,-14.35,0.05,-0.57,-1.40,-15.54,-1.78,-1.96
Tax %,12.93%,25.97%,33.33%,18.07%,17.54%,27.27%,0.00%,0.00%,0.00%,0.00%,0.00%,-6.74%,
Net Profit+,1.01,1.71,0.11,1.36,1.41,0.16,-14.35,0.04,-0.57,-1.40,-15.53,-1.66,-1.84
EPS in Rs,0.04,0.07,0.00,0.06,0.06,0.01,-0.49,0.00,-0.02,-0.05,-0.53,-0.06,-0.06
Dividend Payout %,16.63%,9.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
