Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,600,557,511,818,"1,113","1,073",996,"1,003"
Expenses+,576,528,491,788,"1,068","1,024",960,965
Operating Profit,24,30,20,30,46,49,37,38
OPM %,4%,5%,4%,4%,4%,5%,4%,4%
Other Income+,6,1,1,0,1,2,2,2
Interest,14,16,9,9,12,18,11,12
Depreciation,7,7,7,6,6,8,10,11
Profit before tax,9,8,5,15,28,24,17,17
Tax %,27%,35%,43%,26%,25%,26%,30%,
Net Profit+,6,5,3,11,21,18,12,12
EPS in Rs,4.41,3.57,2.02,7.99,14.86,9.34,6.21,6.28
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
