Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,47.86,30.46,38.75,42.35,50.00,54.18,52.43
Expenses+,39.17,27.01,33.19,36.16,46.20,57.03,56.71
Operating Profit,8.69,3.45,5.56,6.19,3.80,-2.85,-4.28
OPM %,18.16%,11.33%,14.35%,14.62%,7.60%,-5.26%,-8.16%
Other Income+,0.45,0.58,0.48,0.71,0.49,0.05,0.98
Interest,0.83,1.56,1.79,1.79,2.66,3.79,3.78
Depreciation,0.47,0.60,0.94,1.48,2.19,2.53,2.55
Profit before tax,7.84,1.87,3.31,3.63,-0.56,-9.12,-9.63
Tax %,20.66%,-17.65%,6.04%,30.03%,19.64%,-2.41%,
Net Profit+,6.23,2.20,3.11,2.54,-0.67,-8.91,-9.19
EPS in Rs,6.05,2.14,2.87,2.34,-0.60,-8.20,-8.48
Dividend Payout %,6.60%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
