Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,106,103,100,121,107,133,122,230,647,487,722,662,629
Expenses+,90,93,91,113,97,123,113,215,610,452,692,630,596
Operating Profit,16,10,9,9,9,10,9,15,37,35,30,32,33
OPM %,15%,9%,9%,7%,9%,8%,7%,6%,6%,7%,4%,5%,5%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest,3,3,3,2,3,4,4,4,7,9,15,19,20
Depreciation,6,4,3,4,4,4,3,3,3,5,7,8,8
Profit before tax,8,3,3,3,2,2,2,8,27,20,8,6,5
Tax %,26%,17%,17%,-20%,4%,29%,38%,20%,26%,13%,27%,43%,
Net Profit+,6,2,2,3,2,2,1,6,20,18,6,3,2
EPS in Rs,10.76,4.01,4.31,6.35,4.05,3.10,2.22,11.78,37.61,33.39,11.65,5.95,4.52
Dividend Payout %,11%,0%,18%,10%,15%,20%,0%,9%,3%,4%,9%,17%,
