Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,733","3,447","4,066","4,498","4,975","5,240","3,487","2,243","1,908","1,777","1,923","1,036",958
Expenses+,"2,290","2,861","3,064","3,302","3,493","3,759","2,342","1,645","2,255","1,729","1,842",607,493
Operating Profit,443,586,"1,002","1,196","1,481","1,481","1,145",598,-348,48,81,429,465
OPM %,16%,17%,25%,27%,30%,28%,33%,27%,-18%,3%,4%,41%,49%
Other Income+,152,56,107,154,114,319,"1,873",377,755,31,-189,63,84
Interest,452,617,"1,075","1,191","1,313","1,329","1,411","1,003",975,661,560,457,443
Depreciation,130,223,233,321,358,392,401,211,167,131,127,127,129
Profit before tax,12,-198,-199,-162,-76,79,"1,206",-239,-735,-713,-795,-92,-23
Tax %,-118%,17%,11%,6%,50%,168%,8%,-1%,-1%,-2%,-2%,79%,
Net Profit+,26,-235,-221,-172,-114,-54,"1,106",-237,-728,-699,-780,-166,-104
EPS in Rs,2.93,-10.23,-6.02,-3.15,-0.18,1.23,46.21,-9.03,-42.18,-34.34,-36.72,-11.04,-8.26
Dividend Payout %,24%,-7%,-12%,-24%,-555%,81%,0%,0%,0%,0%,0%,0%,
